,Date,Bidding Session,Category,Quota,Successful Bids,Received Bids,Premium,PQP,Population,Number of Registered,Number of Deregistered,Year,Month
0,2014-01,1,A,364,361,623,72369,76109,341519,844,1011,2014,1
1,2014-01,2,A,368,364,724,72290,76109,341519,844,1011,2014,1
2,2014-01,1,B,386,377,581,78700,82333,279902,1224,927,2014,1
3,2014-01,2,B,393,388,512,79000,82333,279902,1224,927,2014,1
4,2014-01,1,C,258,252,337,48889,58989,154144,432,711,2014,1
5,2014-01,2,C,264,249,356,50001,58989,154144,432,711,2014,1
6,2014-01,1,D,489,487,542,1989,1797,144631,1017,760,2014,1
7,2014-01,2,D,503,503,796,2704,1797,144631,1017,760,2014,1
8,2014-02,1,A,362,356,719,71564,73237,341169,754,1104,2014,2
9,2014-02,2,A,362,358,700,77201,73237,341169,754,1104,2014,2
10,2014-02,1,B,360,360,523,75300,78382,280081,1105,926,2014,2
11,2014-02,2,B,355,353,519,78604,78382,280081,1105,926,2014,2
12,2014-02,1,C,267,264,364,51002,51418,153906,594,832,2014,2
13,2014-02,2,C,277,273,392,52890,51418,153906,594,832,2014,2
14,2014-02,1,D,361,353,550,3051,1952,144692,729,668,2014,2
15,2014-02,2,D,360,359,478,3501,1952,144692,729,668,2014,2
16,2014-03,1,A,365,356,615,76999,73431,340645,806,1330,2014,3
17,2014-03,2,A,362,360,577,78602,73431,340645,806,1330,2014,3
18,2014-03,1,B,350,337,499,80710,76719,279927,1154,1308,2014,3
19,2014-03,2,B,353,352,524,82900,76719,279927,1154,1308,2014,3
20,2014-03,1,C,265,262,439,56302,50316,153131,925,1700,2014,3
21,2014-03,2,C,266,256,356,53891,50316,153131,925,1700,2014,3
22,2014-03,1,D,368,340,483,4001,2474,144493,597,796,2014,3
23,2014-03,2,D,360,355,449,4289,2474,144493,597,796,2014,3
24,2014-04,1,A,367,360,537,77400,74838,340066,768,1347,2014,4
25,2014-04,2,A,361,357,513,71335,74838,340066,768,1347,2014,4
26,2014-04,1,B,363,363,523,84504,79203,279823,964,1068,2014,4
