,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,pqp,number_of_deregistered,number_of_registered,number,year
0,1,1,Category A,364,361,623,72369,76109,1011,844,341519,2014
1,1,2,Category A,368,364,724,72290,76109,1011,844,341519,2014
2,1,1,Category B,386,377,581,78700,82333,927,1224,279902,2014
3,1,2,Category B,393,388,512,79000,82333,927,1224,279902,2014
4,1,1,Category C,258,252,337,48889,58989,711,309,154144,2014
5,1,2,Category C,264,249,356,50001,58989,711,309,154144,2014
6,1,1,Category D,489,487,542,1989,1797,760,1017,144631,2014
7,1,2,Category D,503,503,796,2704,1797,760,1017,144631,2014
8,2,1,Category A,362,356,719,71564,73237,1104,754,341169,2014
9,2,2,Category A,362,358,700,77201,73237,1104,754,341169,2014
10,2,1,Category B,360,360,523,75300,78382,926,1105,280081,2014
11,2,2,Category B,355,353,519,78604,78382,926,1105,280081,2014
12,2,1,Category C,267,264,364,51002,51418,832,355,153906,2014
13,2,2,Category C,277,273,392,52890,51418,832,355,153906,2014
14,2,1,Category D,361,353,550,3051,1952,668,729,144692,2014
15,2,2,Category D,360,359,478,3501,1952,668,729,144692,2014
16,3,1,Category A,365,356,615,76999,73431,1330,806,340645,2014
17,3,2,Category A,362,360,577,78602,73431,1330,806,340645,2014
18,3,1,Category B,350,337,499,80710,76719,1308,1154,279927,2014
19,3,2,Category B,353,352,524,82900,76719,1308,1154,279927,2014
20,3,1,Category C,265,262,439,56302,50316,1700,563,153131,2014
21,3,2,Category C,266,256,356,53891,50316,1700,563,153131,2014
22,3,1,Category D,368,340,483,4001,2474,796,597,144493,2014
23,3,2,Category D,360,355,449,4289,2474,796,597,144493,2014
24,4,1,Category A,367,360,537,77400,74838,1347,768,340066,2014
25,4,2,Category A,361,357,513,71335,74838,1347,768,340066,2014
26,4,1,Category B,363,363,523,84504,79203,1068,964,279823,2014
27,4,2,Category B,351,349,486,75010,79203,1068,964,279823,2014
28,4,1,Category C,265,261,303,49503,52163,1267,465,152579,2014
29,4,2,Category C,272,266,392,32890,52163,1267,465,152579,2014
30,4,1,Category D,388,388,520,4489,3256,742,576,144327,2014
31,4,2,Category D,365,350,492,4502,3256,742,576,144327,2014
32,5,1,Category A,513,512,676,60002,75517,1271,905,339700,2014
33,5,2,Category A,509,506,997,65689,75517,1271,905,339700,2014
34,5,1,Category B,483,472,778,70002,79505,1101,1222,279944,2014
35,5,2,Category B,484,477,716,68103,79505,1101,1222,279944,2014
36,5,1,Category C,389,389,715,36301,49413,590,541,152779,2014
37,5,2,Category C,392,386,709,40889,49413,590,541,152779,2014
38,5,1,Category D,343,340,445,4001,3973,637,588,144278,2014
39,5,2,Category D,358,316,492,4003,3973,637,588,144278,2014
40,6,1,Category A,507,499,1040,63190,71672,1291,963,339372,2014
41,6,2,Category A,509,506,1040,61899,71672,1291,963,339372,2014
42,6,1,Category B,494,484,807,67304,76872,1127,1437,280254,2014
43,6,2,Category B,490,475,716,65700,76872,1127,1437,280254,2014
44,6,1,Category C,385,378,617,43001,44963,716,640,153116,2014
45,6,2,Category C,391,385,597,42001,44963,716,640,153116,2014
46,6,1,Category D,346,346,449,4089,4215,643,619,144254,2014
47,6,2,Category D,385,381,503,3890,4215,643,619,144254,2014
48,7,1,Category A,513,511,1075,61990,66586,1507,937,338802,2014
49,7,2,Category A,509,505,1190,62890,66586,1507,937,338802,2014
50,7,1,Category B,493,491,812,64889,71771,1217,1312,280349,2014
51,7,2,Category B,498,497,850,65001,71771,1217,1312,280349,2014
52,7,1,Category C,392,383,653,43390,40765,951,733,153602,2014
53,7,2,Category C,391,391,779,52010,40765,951,733,153602,2014
54,7,1,Category D,344,343,415,4001,4163,733,711,144232,2014
55,7,2,Category D,347,341,410,4252,4163,733,711,144232,2014
56,8,1,Category A,574,574,1086,64600,62610,1415,1081,338468,2014
57,8,2,Category A,575,574,994,65710,62610,1415,1081,338468,2014
58,8,1,Category B,507,501,1090,68689,66834,1224,1477,280602,2014
59,8,2,Category B,506,502,1137,72990,66834,1224,1477,280602,2014
60,8,1,Category C,267,267,519,54009,42932,1162,572,153830,2014
61,8,2,Category C,257,254,427,52390,42932,1162,572,153830,2014
62,8,1,Category D,316,315,360,4353,4040,673,689,144248,2014
63,8,2,Category D,322,317,361,4354,4040,673,689,144248,2014
64,9,1,Category A,572,568,813,64841,63380,1875,1256,337849,2014
65,9,2,Category A,573,573,792,62000,63380,1875,1256,337849,2014
66,9,1,Category B,511,511,909,73010,67429,1312,1678,280968,2014
67,9,2,Category B,509,507,785,71990,67429,1312,1678,280968,2014
68,9,1,Category C,258,256,429,49901,47801,842,664,154187,2014
69,9,2,Category C,261,252,437,49889,47801,842,664,154187,2014
70,9,1,Category D,316,316,382,4453,4157,624,862,144486,2014
71,9,2,Category D,320,318,394,4504,4157,624,862,144486,2014
72,10,1,Category A,575,570,1097,63880,63672,2080,1261,337030,2014
73,10,2,Category A,572,569,1092,63990,63672,2080,1261,337030,2014
74,10,1,Category B,505,501,852,72180,69429,1433,1487,281022,2014
75,10,2,Category B,507,506,822,72002,69429,1433,1487,281022,2014
76,10,1,Category C,259,257,516,57389,50265,1178,706,154557,2014
77,10,2,Category C,267,266,416,61000,50265,1178,706,154557,2014
78,10,1,Category D,316,316,502,4800,4320,631,531,144386,2014
79,10,2,Category D,317,310,431,4412,4320,631,531,144386,2014
80,11,1,Category A,703,692,1196,64900,64171,2068,1269,336231,2014
81,11,2,Category A,701,694,1144,67889,64171,2068,1269,336231,2014
82,11,1,Category B,574,559,832,70890,71811,1449,1640,281213,2014
83,11,2,Category B,570,560,900,72890,71811,1449,1640,281213,2014
84,11,1,Category C,143,143,257,63701,54097,1082,424,154627,2014
85,11,2,Category C,142,134,260,65001,54097,1082,424,154627,2014
86,11,1,Category D,316,315,380,4290,4480,592,538,144332,2014
87,11,2,Category D,324,322,389,4189,4480,592,538,144332,2014
88,12,1,Category A,709,703,996,67089,64584,2263,1482,335450,2014
89,12,2,Category A,705,699,868,65889,64584,2263,1482,335450,2014
90,12,1,Category B,584,582,873,74389,72161,1719,1589,281083,2014
91,12,2,Category B,579,572,755,74000,72161,1719,1589,281083,2014
92,12,1,Category C,141,126,196,60001,57814,837,326,154524,2014
93,12,2,Category C,149,149,268,52100,57814,837,326,154524,2014
94,12,1,Category D,318,314,392,4210,4442,553,688,144467,2014
95,12,2,Category D,319,270,367,4312,4442,553,688,144467,2014
96,1,1,Category A,704,698,940,66010,65607,3174,1547,333823,2015
97,1,2,Category A,705,703,1068,65001,65607,3174,1547,333823,2015
98,1,1,Category B,571,570,833,75289,72726,2095,1972,280960,2015
99,1,2,Category B,576,576,915,76889,72726,2095,1972,280960,2015
100,1,1,Category C,156,155,296,55011,59866,834,442,154428,2015
101,1,2,Category C,140,139,247,55012,59866,834,442,154428,2015
102,1,1,Category D,321,319,374,4403,4369,693,670,144444,2015
103,1,2,Category D,366,360,509,4889,4369,693,670,144444,2015
104,2,1,Category A,992,991,1295,62002,66130,2142,1306,332987,2015
105,2,2,Category A,988,988,1294,57199,66130,2142,1306,332987,2015
106,2,1,Category B,724,723,959,70890,74058,1474,1589,281075,2015
107,2,2,Category B,722,721,1037,66751,74058,1474,1589,281075,2015
108,2,1,Category C,185,183,311,52101,58471,761,271,154160,2015
109,2,2,Category C,185,185,333,53202,58471,761,271,154160,2015
110,2,1,Category D,287,283,384,5504,4383,613,485,144316,2015
111,2,2,Category D,291,290,396,5800,4383,613,485,144316,2015
112,3,1,Category A,987,986,2120,61410,63865,4030,1958,330915,2015
113,3,2,Category A,987,987,2251,64700,63865,4030,1958,330915,2015
114,3,1,Category B,723,723,1239,68668,73035,2416,1958,280617,2015
115,3,2,Category B,723,717,1354,71889,73035,2416,1958,280617,2015
116,3,1,Category C,186,183,315,56501,54572,1796,491,153434,2015
117,3,2,Category C,184,175,345,59999,54572,1796,491,153434,2015
118,3,1,Category D,289,288,343,5501,4853,759,622,144179,2015
119,3,2,Category D,286,286,385,5610,4853,759,622,144179,2015
120,4,1,Category A,988,970,2340,67749,62721,3618,1866,329163,2015
121,4,2,Category A,987,979,2055,67601,62721,3618,1866,329163,2015
122,4,1,Category B,722,716,1661,76612,71730,2289,1976,280304,2015
123,4,2,Category B,728,708,1525,78001,71730,2289,1976,280304,2015
124,4,1,Category C,188,183,290,64001,55305,1029,341,153377,2015
125,4,2,Category C,194,192,284,53001,55305,1029,341,153377,2015
126,4,1,Category D,286,278,442,6312,5285,763,653,144069,2015
127,4,2,Category D,285,277,376,6801,5285,763,653,144069,2015
128,5,1,Category A,1444,1438,2891,68589,63444,3627,2501,328037,2015
129,5,2,Category A,1434,1431,2351,66590,63444,3627,2501,328037,2015
130,5,1,Category B,934,934,1631,77600,72136,2191,2070,280183,2015
131,5,2,Category B,948,948,1401,75002,72136,2191,2070,280183,2015
132,5,1,Category C,373,370,545,50098,56468,576,503,153543,2015
133,5,2,Category C,370,365,546,52001,56468,576,503,153543,2015
134,5,1,Category D,334,321,462,6512,5922,757,562,143874,2015
135,5,2,Category D,334,298,433,6501,5922,757,562,143874,2015
136,6,1,Category A,1432,1393,1943,66000,66107,3761,3853,328129,2015
137,6,2,Category A,1429,1421,1766,61000,66107,3761,3853,328129,2015
138,6,1,Category B,929,923,1384,75000,74629,2362,3134,280955,2015
139,6,2,Category B,928,926,1144,71509,74629,2362,3134,280955,2015
140,6,1,Category C,371,369,508,50900,55934,629,619,153790,2015
141,6,2,Category C,373,370,481,50502,55934,629,619,153790,2015
142,6,1,Category D,339,336,430,6509,6207,738,638,143774,2015
143,6,2,Category D,363,359,448,6401,6207,738,638,143774,2015
144,7,1,Category A,1466,1464,1891,58700,66255,3798,1777,326108,2015
145,7,2,Category A,1435,1365,1966,55889,66255,3798,1777,326108,2015
146,7,1,Category B,934,933,1225,65501,75621,2382,1390,279963,2015
147,7,2,Category B,930,929,1218,58109,75621,2382,1390,279963,2015
148,7,1,Category C,370,370,476,50001,53418,697,616,154026,2015
149,7,2,Category C,371,371,455,50002,53418,697,616,154026,2015
150,7,1,Category D,330,328,425,6508,6506,735,636,143675,2015
151,7,2,Category D,331,320,486,6312,6506,735,636,143675,2015
152,8,1,Category A,1688,1687,2446,56209,62795,3252,2446,325302,2015
153,8,2,Category A,1756,1756,2597,57498,62795,3252,2446,325302,2015
154,8,1,Category B,1057,1054,1634,60789,70454,1939,2241,280265,2015
155,8,2,Category B,1058,1056,1551,62140,70454,1939,2241,280265,2015
156,8,1,Category C,183,183,263,49302,50584,2211,426,153793,2015
157,8,2,Category C,182,182,282,46501,50584,2211,426,153793,2015
158,8,1,Category D,356,356,418,6201,6458,646,589,143618,2015
159,8,2,Category D,366,319,527,6112,6458,646,589,143618,2015
160,9,1,Category A,1688,1688,2553,57089,59216,3756,2811,324357,2015
161,9,2,Category A,1687,1684,2276,55399,59216,3756,2811,324357,2015
162,9,1,Category B,1059,1058,1628,62101,65508,2308,2437,280394,2015
163,9,2,Category B,1058,1041,1371,60001,65508,2308,2437,280394,2015
164,9,1,Category C,182,182,371,46801,49535,1860,454,153792,2015
165,9,2,Category C,182,172,356,45289,49535,1860,454,153792,2015
166,9,1,Category D,355,310,473,6512,6341,691,623,143550,2015
167,9,2,Category D,402,402,509,6158,6341,691,623,143550,2015
168,10,1,Category A,1687,1679,2210,56001,56798,4496,3667,323528,2015
169,10,2,Category A,1690,1684,2229,57301,56798,4496,3667,323528,2015
170,10,1,Category B,1057,1044,1373,58190,61441,2529,2428,280293,2015
171,10,2,Category B,1073,1069,1367,59889,61441,2529,2428,280293,2015
172,10,1,Category C,182,181,331,44890,47983,1658,493,153917,2015
173,10,2,Category C,192,186,340,42303,47983,1658,493,153917,2015
174,10,1,Category D,400,398,438,6201,6301,774,676,143452,2015
175,10,2,Category D,355,353,430,6302,6301,774,676,143452,2015
176,11,1,Category A,1664,1623,2009,56001,56583,4216,3564,322876,2015
177,11,2,Category A,1662,1650,2140,59200,56583,4216,3564,322876,2015
178,11,1,Category B,1037,1031,1267,57501,60519,2634,2597,280256,2015
179,11,2,Category B,1029,1026,1388,61103,60519,2634,2597,280256,2015
180,11,1,Category C,241,240,372,43809,45848,1439,437,153977,2015
181,11,2,Category C,247,244,389,45890,45848,1439,437,153977,2015
182,11,1,Category D,329,301,402,5912,6248,657,578,143373,2015
183,11,2,Category D,329,324,436,6502,6248,657,578,143373,2015
184,12,1,Category A,1698,1696,2132,56989,56832,4580,3676,321972,2015
185,12,2,Category A,1669,1667,1978,54301,56832,4580,3676,321972,2015
186,12,1,Category B,1031,1028,1324,60001,59798,2683,2688,280261,2015
187,12,2,Category B,1027,1025,1200,55001,59798,2683,2688,280261,2015
188,12,1,Category C,241,236,345,48101,44831,1484,480,154229,2015
189,12,2,Category C,244,243,311,46001,44831,1484,480,154229,2015
190,12,1,Category D,355,354,414,6501,6265,757,727,143343,2015
191,12,2,Category D,332,332,394,6600,6265,757,727,143343,2015
192,1,1,Category A,1659,1649,2013,45002,56633,4497,3953,321428,2016
193,1,2,Category A,1659,1638,3437,51301,56633,4497,3953,321428,2016
194,1,1,Category B,1027,1019,1262,54920,58615,3060,3111,280312,2016
195,1,2,Category B,1026,1026,1334,50089,58615,3060,3111,280312,2016
196,1,1,Category C,246,245,353,42036,45166,1319,440,154367,2016
197,1,2,Category C,242,239,387,46502,45166,1319,440,154367,2016
198,1,1,Category D,328,317,409,6889,6337,707,667,143303,2016
199,1,2,Category D,327,322,415,6512,6337,707,667,143303,2016
200,2,1,Category A,2038,2033,2972,46651,53799,4105,3239,320562,2016
201,2,2,Category A,2049,2025,2965,43000,53799,4105,3239,320562,2016
202,2,1,Category B,1216,1216,1624,38610,56436,2579,2488,280221,2016
203,2,2,Category B,1208,1197,2898,46970,56436,2579,2488,280221,2016
204,2,1,Category C,164,164,229,45036,45390,1006,326,154374,2016
205,2,2,Category C,165,160,239,45001,45390,1006,326,154374,2016
206,2,1,Category D,368,368,495,6503,6486,804,595,143094,2016
207,2,2,Category D,362,361,454,6353,6486,804,595,143094,2016
208,3,1,Category A,2033,1957,3518,45000,49541,5937,4124,318749,2016
209,3,2,Category A,2053,2020,3836,45504,49541,5937,4124,318749,2016
210,3,1,Category B,1209,1200,2706,47604,50932,3890,2955,279286,2016
211,3,2,Category B,1220,1218,2491,46502,50932,3890,2955,279286,2016
212,3,1,Category C,162,160,259,48890,45447,2218,521,154105,2016
213,3,2,Category C,167,166,226,46502,45447,2218,521,154105,2016
214,3,1,Category D,357,356,430,6503,6560,1008,672,142758,2016
215,3,2,Category D,357,356,429,6589,6560,1008,672,142758,2016
216,4,1,Category A,2105,2103,3719,46009,46077,4575,3997,318171,2016
217,4,2,Category A,2062,2061,3327,47300,46077,4575,3997,318171,2016
218,4,1,Category B,1218,1218,2247,47000,47450,3011,3180,279455,2016
219,4,2,Category B,1211,1136,2364,49602,47450,3011,3180,279455,2016
220,4,1,Category C,164,161,235,44213,45662,2341,351,153513,2016
221,4,2,Category C,163,162,241,43002,45662,2341,351,153513,2016
222,4,1,Category D,357,356,455,6503,6559,688,722,142792,2016
223,4,2,Category D,357,341,437,6501,6559,688,722,142792,2016
224,5,1,Category A,2218,2217,3446,47889,45578,4493,4910,318588,2016
225,5,2,Category A,2217,2182,3227,47020,45578,4493,4910,318588,2016
